Training Env Iteration,Time,Speed (m/s)
1428,1666636392460,1.63565153163288
1439,1666636481021,1.64228033630403
1450,1666636599785,1.64074495045633
1461,1666636738005,1.78372156309286
1472,1666636822500,1.545162020998
1483,1666636927672,1.47159958952223
1494,1666637043971,1.55589820425436
1505,1666637116602,1.52158689438313
1516,1666637225511,1.62336117831233
1527,1666637328082,1.82533021081219
1538,1666637406792,1.82533021081219
1549,1666637514564,1.68227066891519
1560,1666637624063,1.53526798366631
1571,1666637769675,1.57894491839621
1582,1666637877168,1.61570141185732
1593,1666637961543,1.63559677632629
1604,1666638064046,1.57307823819549
1615,1666638168695,1.54672860819835
1626,1666638272515,1.70249479940584
1637,1666638341137,1.61166251136697
1648,1666638453870,1.70134848588345
1659,1666638555354,1.68700497491863
1670,1666638638197,1.64539905170376
1681,1666638751208,1.79027939844335
1692,1666638833048,1.87020673855246
1703,1666638905841,1.78172737100397
1714,1666638955417,1.5962804189139
1725,1666639098363,1.4494598197628
1736,1666639218823,1.47756212571854
1747,1666639280802,1.54417731135065
1758,1666639374656,1.52544258617249
1769,1666639488644,1.58041717451261
1780,1666639575028,1.70905779461072
1791,1666639666770,1.4561665523412
1802,1666639765928,1.74398988625676
1813,1666639875957,1.65806847791804
1824,1666640005910,1.53015203054309
1835,1666640097887,1.5273940723133
1846,1666640230021,1.36908841878325
1857,1666640347397,1.52053014705263
1868,1666640414650,1.34731377441581
1879,1666640514915,1.44949499472837
1890,1666640635606,1.46445862522455
