Training Env Iteration,Time,Speed (m/s)
840,1664601210055,5.45623961808962
851,1664601246863,5.46635705884609
862,1664601271905,5.47834461196182
873,1664601294271,5.40940580536761
884,1664601331038,5.44719219922617
895,1664601360553,5.46321754118026
906,1664601378155,5.41835489791669
917,1664601414369,5.51745681000923
928,1664601445070,5.47898116768789
939,1664601461460,5.29351228182988
950,1664601497442,5.49797412646662
961,1664601529726,5.55732284640526
972,1664601560000,5.70573162298678
983,1664601582237,5.57485763119151
994,1664601617148,5.64669221511834
1005,1664601645751,5.62638048184413
1016,1664601664922,5.58805828992888
1027,1664601700183,5.65788679712056
1038,1664601732142,5.70124969183439
1049,1664601748918,5.62659040300273
1060,1664601784232,5.59536509162332
1071,1664601816471,5.58561678804264
1082,1664601831774,5.61945198625163
1093,1664601866752,5.65465217576529
1104,1664601899356,5.67473206026773
1115,1664601915277,5.63591078565639
1126,1664601950502,5.58175037932831
1137,1664601985590,5.57446427696135
1148,1664602016227,5.67332106497161
1159,1664602034150,5.71689912862901
1170,1664602069216,5.69825072495909
1181,1664602101733,5.66763974479122
1192,1664602117036,5.67896426030225
1203,1664602151710,5.73060641164723
1214,1664602184122,5.77043785651463
1225,1664602201465,5.76427520328382
1236,1664602234751,5.72025016125892
1247,1664602266487,5.79740031705925
1258,1664602283784,5.74527770686887
1269,1664602316477,5.79713639346862
1280,1664602353936,5.83105156187574
1291,1664602366709,5.86878808884377
1302,1664602400183,5.82210956037572
1313,1664602436269,5.84523605900769
1324,1664602467542,5.82000777935164
1335,1664602482620,5.87075090104537
1346,1664602518828,5.85189245254895
1357,1664602549134,5.92812968452718
1368,1664602563946,5.89151502809272
1379,1664602600027,5.93151879799667
1390,1664602631286,5.8973005136924
1401,1664602649616,5.96108501214241
1412,1664602683855,5.89049121485653
1423,1664602717320,5.88568464452294
1434,1664602731097,5.80594683380155
1445,1664602765359,5.82571097449885
1456,1664602799557,5.95271425198517
1467,1664602813468,5.92865265781721
1478,1664602847028,5.95405991434283
1489,1664602881668,5.95831911892847
1500,1664602911109,6.05199885671779
1511,1664602929156,5.99927150970034
1522,1664602963043,5.97959516012885
1533,1664602994332,6.06117497547718
1544,1664603012423,5.94885820515382
1555,1664603043800,6.01790387818851
1566,1664603078320,6.04513415799389
1577,1664603093753,5.95763039310031
1588,1664603126716,6.05951201119808
1599,1664603160604,6.0664714569164
1610,1664603174326,6.07439299315322
1621,1664603207341,6.09395651751942
1632,1664603242412,6.15581387470246
1643,1664603255851,6.10290219766078
1654,1664603287308,6.14631766036687
1665,1664603322519,6.0141391662215
1676,1664603350041,6.09255130020397
1687,1664603374006,6.15655157491958
1698,1664603404606,6.06517571302814
1709,1664603433490,6.12784531064675
1720,1664603454223,6.04433553033089
1731,1664603486203,6.12838347298446
1742,1664603519468,6.1067615622303
1753,1664603536250,6.06690719779095
1764,1664603566030,6.05949002181007
1775,1664603600842,6.17024214544
1786,1664603618255,6.13146440282088
1797,1664603646917,6.16457435782829
1808,1664603682418,6.20008622357401
1819,1664603700529,6.1461147990476
1830,1664603728478,6.19373088628934
1841,1664603762962,6.17852060629897
1852,1664603787509,6.18700399128942
1863,1664603812716,6.19456547053754
1874,1664603843529,6.20315824353876
1885,1664603871437,6.1428005941392
1896,1664603893264,6.24990937315371
1907,1664603923292,6.19542891653633
1918,1664603956109,6.24780162212423
1929,1664603975349,6.25601820535705
1940,1664604003335,6.21812432626318
1951,1664604038250,6.3073328606164
1962,1664604061894,6.24928587971728
1973,1664604084139,6.16272627604813
1984,1664604119787,6.27708388946086
1995,1664604143748,6.22965893959571
2006,1664604169674,6.31530645671776
2017,1664604199837,6.21080803519458
2028,1664604224360,6.24207417657792
2039,1664604250833,6.3026338551726
2050,1664604280078,6.30204852483512
2061,1664604305786,6.31774745415349
2072,1664604330731,6.33477898131208
2083,1664604361608,6.40986919462667
2094,1664604391254,6.33146017458009
2105,1664604411468,6.32988446470349
2116,1664604440566,6.33320737172798
2127,1664604473614,6.2726117193206
