Training Env Iteration,Time,Speed (m/s)
953,1665901422976,4.00111423994548
964,1665901464860,4.08834753830713
975,1665901474457,4.1064813454792
986,1665901490812,4.12011873355163
997,1665901527931,4.12632330151213
1008,1665901536379,4.09661581862301
1019,1665901557683,4.09016109562383
1030,1665901587203,4.05497111351861
1041,1665901595645,4.05497111351861
1052,1665901638414,4.06713752702026
1063,1665901647220,4.09974437874514
1074,1665901657324,4.09974437874514
1085,1665901700773,4.08080986669183
1096,1665901709683,4.03122375040918
1107,1665901727868,4.06144414878721
1118,1665901760569,4.1396149631896
1129,1665901770031,4.13606607829539
1140,1665901808949,4.07755329979422
1151,1665901819489,4.00758993374748
1162,1665901830603,4.00758993374748
1173,1665901870694,4.09771705671375
1184,1665901883067,4.17305308664059
1195,1665901894759,4.17305308664059
1206,1665901934337,4.17426908690423
1217,1665901943720,4.19609406019373
1228,1665901964399,4.16015394566695
1239,1665901993515,4.08591849428037
1250,1665902003906,4.08591849428037
1261,1665902043441,4.06978184403308
1272,1665902054581,4.15470442148093
1283,1665902066203,4.15470442148093
1294,1665902103598,4.12408168595035
1305,1665902117250,4.17435726036923
1316,1665902138654,4.17866294029999
1327,1665902166823,4.13083496210394
1338,1665902178407,4.1394983434955
1349,1665902204907,4.0871817761006
1360,1665902226043,3.99575656355284
1371,1665902240193,3.99575656355284
1382,1665902277481,4.04918831139357
1393,1665902287034,4.09474717853875
1404,1665902301725,4.09474717853875
1415,1665902339846,4.04511962501083
1426,1665902351791,4.08920594283632
1437,1665902379132,4.09220953685906
1448,1665902400010,4.07581678253434
1459,1665902412126,4.07755370680286
1470,1665902450511,4.07418901359921
1481,1665902460894,4.07516265114052
1492,1665902474702,4.07516265114052
1503,1665902511249,4.00980349516408
1514,1665902522672,3.95679573450388
1525,1665902542064,3.95679573450388
1536,1665902574212,4.09595839268099
1547,1665902585674,4.09819851615946
1558,1665902616391,4.09924971727269
1569,1665902634355,4.11528618148389
1580,1665902647810,4.11528618148389
1591,1665902685065,4.10012910262947
1602,1665902695656,4.09554284971105
1613,1665902708733,4.09554284971105
1624,1665902744955,4.00892155747729
1635,1665902759544,3.94860041894832
1646,1665902788361,3.965565056481
1657,1665902807608,4.02408364982304
1668,1665902821287,4.01686803140898
1679,1665902857561,4.03755706787304
1690,1665902869069,4.10119414286517
1701,1665902882928,4.10119414286517
1712,1665902918107,4.04800851142413
1723,1665902928850,3.88719117090417
1734,1665902946029,3.88719117090417
1745,1665902979852,4.12417935313827
1756,1665902994728,4.17385622652635
1767,1665903027637,4.13430334037416
1778,1665903041559,4.06722224799962
1789,1665903057613,4.01777667169536
1800,1665903092591,4.07210384638883
1811,1665903103580,4.07980323643917
1822,1665903117689,4.03681001535057
1833,1665903151785,4.01497770384351
1844,1665903163789,4.04976857693507
1855,1665903189153,4.05868157671079
1866,1665903215763,4.0376118300645
1877,1665903230367,3.98247647745059
1888,1665903265487,4.00227978321441
1899,1665903275313,4.06281683812412
1910,1665903293052,3.9795183626199
1921,1665903326599,4.03000716370606
1932,1665903337816,4.00813435427552
1943,1665903352792,4.0659248132021
1954,1665903386784,4.01656476694626
1965,1665903402031,3.95604145784442
1976,1665903436150,3.96180238077323
1987,1665903450284,4.06315505033159
1998,1665903464249,4.13493027081106
2009,1665903500496,4.10940440156021
2020,1665903511116,4.1583129523403
2031,1665903526458,4.05686204001847
2042,1665903560936,4.07656324149347
2053,1665903571707,4.2096907168334
2064,1665903591279,4.09161588312849
2075,1665903623552,4.14522099201749
2086,1665903637267,4.08716498357882
2097,1665903673591,4.17790339012655
2108,1665903682301,4.06898282635429
2119,1665903700005,4.07895499624282
2130,1665903734655,4.07498008294249
2141,1665903746522,4.00553415968163
